1,0.01,149
1.1,0.007,132
1.2,0.01,118
1.3,0.014,101
1.4,0.022,83
1.5,0.017,73
1.6,0.03,61
1.7,0.018,50
1.8,0.038,40
1.9,0.019,31
2,0.04,20
2.1,0.047,16
2.2,0.05,13
2.3,0.041,9
2.4,0.103,3
2.5,0.148,0
