0.86516,4
1.3442,14
1.4028,24
-1.4614,42
-1.2285,52
-0.72022,28
-2.1458,4
-0.55588,1
0.36101,13
0.5953,3
-0.60838,27
-0.97222,41
0.41279,1
-0.97222,41
1.314,210
0.43999,42
0.097547,106
-0.4046,105
-0.26538,36
0.86516,4
-0.097776,36
0.35515,30
0.84235,44
1.314,210
2.1233,218
-0.046195,17
1.5281,1
0.84201,24
-0.55588,1
0.43999,42
-0.097776,36
0.74031,5
-0.14011,101
0.51644,35
1.3148,5
-0.59248,23
2.3143,148
0.097547,106
-0.046195,17
0.74031,5
0.84723,51
1.0628,25
-0.56573,6
-0.14011,101
-0.15734,27
-1.7371,36
2.2799,14
1.3442,14
2.1233,218
1.69,212
-0.4046,105
-0.51982,79
0.28893,16
-0.61933,51
-1.012,5
0.86205,32
0.013908,46
0.064744,1
0.33793,23
0.51644,35
0.60824,2
-0.19534,5
1.3148,5
0.86205,32
0.60824,2
0.13507,5
0.36101,13
0.84723,51
0.51953,173
0.5205,77
0.55933,164
0.80267,68
1.5281,1
0.28893,16
1.1437,14
-1.5446,11
-1.2285,52
-0.61933,51
0.013908,46
0.51953,173
-1.7257,69
0.5626,55
0.5953,3
0.84201,24
1.0628,25
1.1437,14
0.42543,50
-0.15734,27
-1.3941,15
-0.72022,28
-0.59248,23
0.064744,1
-0.19534,5
0.13507,5
-1.9039,24
-1.773,6
-1.4614,42
-2.1458,4
-1.012,5
-1.5446,11
-1.7257,69
-1.3941,15
-1.9039,24
-0.60838,27
0.35515,30
0.5205,77
0.42543,50
1.4028,24
1.69,212
1.3596,136
-0.42974,41
2.5758,28
1.3958,115
0.84235,44
0.55933,164
1.3596,136
-1.7371,36
-1.773,6
0.41279,1
-0.42974,41
2.5758,28
2.1296,14
2.3143,148
0.33793,23
0.80267,68
0.5626,55
1.3958,115
2.1296,14
-0.035469,187
-0.26538,36
-0.56573,6
0.32631,10
1.3395,21
1.0826,27
0.32631,10
0.59026,58
1.9302,34
-0.035469,187
0.59026,58
0.68044,107
1.3395,21
0.68044,107
1.4752,54
-0.51982,79
-0.90441,42
0.092246,77
-0.90441,42
2.2799,14
1.9302,34
1.0826,27
1.4752,54
0.092246,77
